ID,Nombre,Apellido,Correo,Rol,Estado,Creado
35,Laia,Navas,marcos.concepcion@example.com,Funcionario,activo,"2025-07-09 21:41:35"
77,Inés,Gálvez,sverduzco@example.net,Funcionario,activo,"2025-07-11 10:24:56"
37,Berta,Alfonso,carreon.malak@example.com,Operario,activo,"2025-07-09 21:41:36"
39,Carlota,Orta,jserra@example.net,Operario,activo,"2025-07-09 21:41:37"
42,Alba,Mireles,ichavez@example.com,Operario,activo,"2025-07-09 21:46:32"
88,Gerard,Sancho,castellanos.diana@example.net,Operario,activo,"2025-07-11 10:25:13"
76,Aaron,Adorno,lucas64@example.com,Operario,inactivo,"2025-07-11 10:24:53"
52,Alex,Chapa,carmona.fatima@example.org,Operario,inactivo,"2025-07-09 21:46:36"
53,Dario,Salvador,alonso32@example.net,Operario,activo,"2025-07-09 21:46:36"
54,Pedro,Juárez,jibarra@example.org,Operario,activo,"2025-07-09 21:46:37"
56,Laura,Meraz,ysuarez@example.org,Operario,activo,"2025-07-09 21:46:38"
78,Pilar,Espinoza,jtirado@example.org,Operario,activo,"2025-07-11 10:24:57"
58,Andrea,Magaña,conde.leire@example.org,Operario,activo,"2025-07-09 21:50:22"
3,Jose,santa,josesanta@gmail.com,Operario,activo,"2025-07-06 22:39:17"
79,Marta,Bautista,xmireles@example.net,Operario,activo,"2025-07-11 10:24:59"
8,Ana,Santiago,natalia.guerra@example.com,Operario,activo,"2025-07-07 15:19:42"
11,Héctor,Jimínez,carlota65@example.com,Operario,activo,"2025-07-07 15:19:46"
62,Alejandro,Olivares,onaranjo@example.org,Operario,activo,"2025-07-09 21:50:27"
15,"María Carmen",Quesada,slara@example.net,Operario,activo,"2025-07-07 15:19:52"
17,Mar,Crespo,salma42@example.org,Operario,activo,"2025-07-07 15:19:55"
20,"José Manuel",Villalpando,santos.alberto@example.com,Operario,activo,"2025-07-07 15:20:00"
65,Zoe,Luevano,saul26@example.org,Operario,activo,"2025-07-09 21:50:31"
23,SuperAdmin,santa,suante@gmail.com,Operario,activo,"2025-07-09 21:39:19"
26,Valeria,Bustos,oamaya@example.com,Operario,activo,"2025-07-09 21:41:32"
67,Aleix,Loera,zrueda@example.com,Operario,inactivo,"2025-07-09 21:50:34"
30,Oliver,Arguello,ana31@example.net,Operario,activo,"2025-07-09 21:41:33"
91,Saúl,Villanueva,miriam73@example.org,Operario,activo,"2025-07-11 10:25:17"
32,Álvaro,Olivo,fatima.valadez@example.com,Operario,activo,"2025-07-09 21:41:34"
72,Jordi,Guevara,oscar.velasquez@example.com,Operario,activo,"2025-07-09 21:50:42"
2,Andres,Conde,andresrondon436@gmail.com,SuperAdmin,activo,"2025-07-06 11:05:22"
1,SuperAdmin,SuperAdministrador,super@admin.com,SuperAdmin,activo,"2025-07-06 11:03:56"
