ID,Nombre,Apellido,Correo,Rol,Estado,Creado
16,Elena,León,jaime47@example.org,Funcionario,activo,"2025-07-07 15:19:54"
51,Fernando,Rentería,jose.soto@example.com,Administrador,activo,"2025-07-09 21:46:36"
29,Francisco,Olivera,wgracia@example.org,Administrador,activo,"2025-07-09 21:41:33"
34,"Francisco Javier",Haro,claudia21@example.org,Administrador,activo,"2025-07-09 21:41:35"
10,Gabriela,Farías,yeray32@example.net,Administrador,activo,"2025-07-07 15:19:45"
85,Gael,Sanabria,julia29@example.net,Administrador,activo,"2025-07-11 10:25:08"
81,Gerard,Castro,dmenchaca@example.com,Funcionario,activo,"2025-07-11 10:25:03"
88,Gerard,Sancho,castellanos.diana@example.net,Operario,activo,"2025-07-11 10:25:13"
64,Gloria,Regalado,jon.cardenas@example.org,Administrador,activo,"2025-07-09 21:50:30"
11,Héctor,Jimínez,carlota65@example.com,Operario,activo,"2025-07-07 15:19:46"
25,Héctor,Plaza,rayan61@example.net,Funcionario,activo,"2025-07-09 21:41:31"
77,Inés,Gálvez,sverduzco@example.net,Funcionario,activo,"2025-07-11 10:24:56"
57,Isaac,Valdez,adam.carmona@example.org,Administrador,activo,"2025-07-09 21:50:19"
89,Ismael,Cervántez,scarrero@example.net,Administrador,activo,"2025-07-11 10:25:14"
66,Jimena,Velázquez,isaac35@example.org,Funcionario,activo,"2025-07-09 21:50:32"
46,Joel,Garrido,malmaraz@example.com,Funcionario,inactivo,"2025-07-09 21:46:33"
47,Joel,Acuña,martin.helena@example.net,Funcionario,activo,"2025-07-09 21:46:34"
83,Joel,Perea,sherrera@example.com,Funcionario,activo,"2025-07-11 10:25:05"
71,Jordi,Borrego,sandreu@example.com,Administrador,activo,"2025-07-09 21:50:40"
72,Jordi,Guevara,oscar.velasquez@example.com,Operario,activo,"2025-07-09 21:50:42"
3,Jose,santa,josesanta@gmail.com,Operario,activo,"2025-07-06 22:39:17"
82,"José Antonio",Robledo,wescobedo@example.net,Administrador,activo,"2025-07-11 10:25:04"
20,"José Manuel",Villalpando,santos.alberto@example.com,Operario,activo,"2025-07-07 15:20:00"
55,"José Manuel",Mares,roberto.ledesma@example.com,Funcionario,activo,"2025-07-09 21:46:37"
48,Juan,Estévez,mejia.sofia@example.com,Administrador,activo,"2025-07-09 21:46:34"
61,Juana,Vidal,saez.jordi@example.org,Funcionario,activo,"2025-07-09 21:50:26"
4,Juanito,Gomez,juanito@gmail.com,Funcionario,activo,"2025-07-06 22:40:13"
35,Laia,Navas,marcos.concepcion@example.com,Funcionario,activo,"2025-07-09 21:41:35"
86,Lara,Cervántez,rmarin@example.org,Administrador,activo,"2025-07-11 10:25:10"
56,Laura,Meraz,ysuarez@example.org,Operario,activo,"2025-07-09 21:46:38"
41,Lola,Soliz,yaiza.hinojosa@example.com,Funcionario,activo,"2025-07-09 21:46:31"
27,Lorena,Archuleta,toro.vera@example.net,Administrador,activo,"2025-07-09 21:41:32"
6,Luis,Carvajal,madera.carla@example.org,Administrador,activo,"2025-07-07 15:19:38"
17,Mar,Crespo,salma42@example.org,Operario,activo,"2025-07-07 15:19:55"
43,Marcos,López,ander06@example.org,Administrador,inactivo,"2025-07-09 21:46:32"
15,"María Carmen",Quesada,slara@example.net,Operario,activo,"2025-07-07 15:19:52"
9,Marta,Noriega,ainara64@example.com,Funcionario,activo,"2025-07-07 15:19:43"
79,Marta,Bautista,xmireles@example.net,Operario,activo,"2025-07-11 10:24:59"
90,Martín,Mora,zgiron@example.net,Funcionario,activo,"2025-07-11 10:25:16"
33,Martina,Gracia,sonia.garay@example.org,Funcionario,activo,"2025-07-09 21:41:34"
87,Miguel,Pardo,xlopez@example.org,Administrador,activo,"2025-07-11 10:25:11"
38,Nadia,Urías,tsanabria@example.com,Funcionario,activo,"2025-07-09 21:41:37"
13,Nahia,Murillo,emunguia@example.org,Funcionario,activo,"2025-07-07 15:19:49"
12,Nicolás,Preciado,pons.pilar@example.com,Funcionario,activo,"2025-07-07 15:19:48"
69,Olga,Valentín,erik.muro@example.net,Funcionario,activo,"2025-07-09 21:50:37"
30,Oliver,Arguello,ana31@example.net,Operario,activo,"2025-07-09 21:41:33"
14,Ona,Cantú,inmaculada86@example.net,Administrador,activo,"2025-07-07 15:19:51"
44,Paola,Toro,naia.sepulveda@example.com,Funcionario,activo,"2025-07-09 21:46:32"
31,Pau,Lázaro,dario55@example.net,Administrador,activo,"2025-07-09 21:41:34"
54,Pedro,Juárez,jibarra@example.org,Operario,activo,"2025-07-09 21:46:37"
78,Pilar,Espinoza,jtirado@example.org,Operario,activo,"2025-07-11 10:24:57"
49,Rosario,Carrasquillo,ubenito@example.net,Administrador,activo,"2025-07-09 21:46:35"
60,Rosario,Conde,francisco.bravo@example.com,Funcionario,activo,"2025-07-09 21:50:25"
70,Rubén,Villegas,pcobo@example.net,Administrador,activo,"2025-07-09 21:50:38"
36,Sara,Nájera,isaac87@example.net,Administrador,activo,"2025-07-09 21:41:36"
91,Saúl,Villanueva,miriam73@example.org,Operario,activo,"2025-07-11 10:25:17"
59,Sofía,Vargas,lidia.ortiz@example.net,Administrador,activo,"2025-07-09 21:50:23"
24,SuperAdmin,Gomez,gmaiqdqw@gmail.com,Administrador,activo,"2025-07-09 21:41:09"
1,SuperAdmin,SuperAdministrador,super@admin.com,SuperAdmin,activo,"2025-07-06 11:03:56"
23,SuperAdmin,santa,suante@gmail.com,Operario,activo,"2025-07-09 21:39:19"
26,Valeria,Bustos,oamaya@example.com,Operario,activo,"2025-07-09 21:41:32"
7,Víctor,Gonzáles,palomino.miguelangel@example.net,Administrador,activo,"2025-07-07 15:19:40"
28,Yeray,Carranza,bpulido@example.net,Administrador,activo,"2025-07-09 21:41:32"
22,Zanchink,Porres,feliperuiz19862014@hotmail.com,Administrador,activo,"2025-07-07 16:06:55"
65,Zoe,Luevano,saul26@example.org,Operario,activo,"2025-07-09 21:50:31"
